arm,mean_kl,median_kl,p95_kl,max_kl,top1_agreement,ppl_60,sha256
ciru,0.030452830391296454,0.0027612169312611666,0.1545270358247857,0.33367892204649147,61,2.084010558412682,2d2edef8de50e5781fc6e4dcc1cf9c80daaeea9097d0ba79b4340b07d4b1d279
agention,0.11223406250141665,0.007866695901408137,0.2976523841628686,1.9122826231950454,60,2.383803541246223,25e5f12db31908110d0e1f02e7fab1afcd618de106da6649637b58ceaf42df9d
unsloth,0.17457136128131387,0.003924902626586302,0.5572221597760761,3.8420741561452627,61,2.4293137420087842,fcfbe409021ae5125d905af36ce119d4702aab576db047251a173a0ce275a0db
