time_s	lane_id	generated_tokens	phase
28.000	gemma4-e2b-q4km-gemma-bin	1779	decode
30.000	qwen36-27b-dflash-pflash	269	decode
30.000	qwen36-27b-baseline	0	prefill_or_compress
30.000	qwen36-35b-a3b-dynamic-strix	873	decode
30.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
30.000	gemma4-26b-a4b-q4km-gemma-bin	777	decode
30.000	gemma4-e2b-q4km-gemma-bin	1948	decode
32.000	qwen36-27b-dflash-pflash	303	decode
32.000	qwen36-27b-baseline	0	prefill_or_compress
32.000	qwen36-35b-a3b-dynamic-strix	992	decode
32.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
32.000	gemma4-26b-a4b-q4km-gemma-bin	872	decode
32.000	gemma4-e2b-q4km-gemma-bin	2117	decode
34.000	qwen36-27b-dflash-pflash	337	decode
34.000	qwen36-27b-baseline	0	prefill_or_compress
34.000	qwen36-35b-a3b-dynamic-strix	1111	decode
34.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
34.000	gemma4-26b-a4b-q4km-gemma-bin	968	decode
34.000	gemma4-e2b-q4km-gemma-bin	2286	decode
36.000	qwen36-27b-dflash-pflash	371	decode
36.000	qwen36-27b-baseline	0	prefill_or_compress
36.000	qwen36-35b-a3b-dynamic-strix	1229	decode
36.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
36.000	gemma4-26b-a4b-q4km-gemma-bin	1064	decode
36.000	gemma4-e2b-q4km-gemma-bin	2455	decode
38.000	qwen36-27b-dflash-pflash	405	decode
38.000	qwen36-27b-baseline	0	prefill_or_compress
38.000	qwen36-35b-a3b-dynamic-strix	1348	decode
38.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
38.000	gemma4-26b-a4b-q4km-gemma-bin	1159	decode
38.000	gemma4-e2b-q4km-gemma-bin	2624	decode
40.000	qwen36-27b-dflash-pflash	439	decode
40.000	qwen36-27b-baseline	0	prefill_or_compress
40.000	qwen36-35b-a3b-dynamic-strix	1467	decode
40.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
40.000	gemma4-26b-a4b-q4km-gemma-bin	1255	decode
40.000	gemma4-e2b-q4km-gemma-bin	2793	decode
42.000	qwen36-27b-dflash-pflash	473	decode
42.000	qwen36-27b-baseline	0	prefill_or_compress
42.000	qwen36-35b-a3b-dynamic-strix	1586	decode
42.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
42.000	gemma4-26b-a4b-q4km-gemma-bin	1351	decode
42.000	gemma4-e2b-q4km-gemma-bin	2962	decode
44.000	qwen36-27b-dflash-pflash	507	decode
44.000	qwen36-27b-baseline	0	prefill_or_compress
44.000	qwen36-35b-a3b-dynamic-strix	1705	decode
44.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
44.000	gemma4-26b-a4b-q4km-gemma-bin	1446	decode
44.000	gemma4-e2b-q4km-gemma-bin	3131	decode
46.000	qwen36-27b-dflash-pflash	541	decode
46.000	qwen36-27b-baseline	0	prefill_or_compress
46.000	qwen36-35b-a3b-dynamic-strix	1824	decode
46.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
46.000	gemma4-26b-a4b-q4km-gemma-bin	1542	decode
46.000	gemma4-e2b-q4km-gemma-bin	3300	decode
48.000	qwen36-27b-dflash-pflash	574	decode
48.000	qwen36-27b-baseline	0	prefill_or_compress
48.000	qwen36-35b-a3b-dynamic-strix	1942	decode
48.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
48.000	gemma4-26b-a4b-q4km-gemma-bin	1638	decode
48.000	gemma4-e2b-q4km-gemma-bin	3469	decode
50.000	qwen36-27b-dflash-pflash	608	decode
50.000	qwen36-27b-baseline	0	prefill_or_compress
50.000	qwen36-35b-a3b-dynamic-strix	2061	decode
50.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
50.000	gemma4-26b-a4b-q4km-gemma-bin	1733	decode
50.000	gemma4-e2b-q4km-gemma-bin	3638	decode
52.000	qwen36-27b-dflash-pflash	642	decode
52.000	qwen36-27b-baseline	0	prefill_or_compress
52.000	qwen36-35b-a3b-dynamic-strix	2180	decode
52.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
52.000	gemma4-26b-a4b-q4km-gemma-bin	1829	decode
52.000	gemma4-e2b-q4km-gemma-bin	3807	decode
54.000	qwen36-27b-dflash-pflash	676	decode
54.000	qwen36-27b-baseline	0	prefill_or_compress
54.000	qwen36-35b-a3b-dynamic-strix	2299	decode
54.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
54.000	gemma4-26b-a4b-q4km-gemma-bin	1925	decode
54.000	gemma4-e2b-q4km-gemma-bin	3976	decode
56.000	qwen36-27b-dflash-pflash	710	decode
56.000	qwen36-27b-baseline	0	prefill_or_compress
56.000	qwen36-35b-a3b-dynamic-strix	2418	decode
56.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
56.000	gemma4-26b-a4b-q4km-gemma-bin	2021	decode
56.000	gemma4-e2b-q4km-gemma-bin	4145	decode
58.000	qwen36-27b-dflash-pflash	744	decode
58.000	qwen36-27b-baseline	0	prefill_or_compress
58.000	qwen36-35b-a3b-dynamic-strix	2537	decode
58.000	mistral-small-4-119b-ud-q4km	4	decode
58.000	gemma4-26b-a4b-q4km-gemma-bin	2116	decode
58.000	gemma4-e2b-q4km-gemma-bin	4314	decode
60.000	qwen36-27b-dflash-pflash	778	decode
60.000	qwen36-27b-baseline	20	decode
60.000	qwen36-35b-a3b-dynamic-strix	2655	decode
60.000	mistral-small-4-119b-ud-q4km	28	decode
60.000	gemma4-26b-a4b-q4km-gemma-bin	2212	decode
60.000	gemma4-e2b-q4km-gemma-bin	4483	decode
62.000	qwen36-27b-dflash-pflash	812	decode
62.000	qwen36-27b-baseline	44	decode
62.000	qwen36-35b-a3b-dynamic-strix	2774	decode
62.000	mistral-small-4-119b-ud-q4km	52	decode
62.000	gemma4-26b-a4b-q4km-gemma-bin	2308	decode
62.000	gemma4-e2b-q4km-gemma-bin	4652	decode
64.000	qwen36-27b-dflash-pflash	846	decode
64.000	qwen36-27b-baseline	68	decode
64.000	qwen36-35b-a3b-dynamic-strix	2893	decode
64.000	mistral-small-4-119b-ud-q4km	76	decode
64.000	gemma4-26b-a4b-q4km-gemma-bin	2403	decode
64.000	gemma4-e2b-q4km-gemma-bin	4821	decode
66.000	qwen36-27b-dflash-pflash	880	decode
66.000	qwen36-27b-baseline	92	decode
66.000	qwen36-35b-a3b-dynamic-strix	3012	decode
66.000	mistral-small-4-119b-ud-q4km	99	decode
66.000	gemma4-26b-a4b-q4km-gemma-bin	2499	decode
66.000	gemma4-e2b-q4km-gemma-bin	4990	decode
68.000	qwen36-27b-dflash-pflash	913	decode
68.000	qwen36-27b-baseline	116	decode
68.000	qwen36-35b-a3b-dynamic-strix	3131	decode
68.000	mistral-small-4-119b-ud-q4km	123	decode
68.000	gemma4-26b-a4b-q4km-gemma-bin	2595	decode
68.000	gemma4-e2b-q4km-gemma-bin	5159	decode
70.000	qwen36-27b-dflash-pflash	947	decode
70.000	qwen36-27b-baseline	140	decode
70.000	qwen36-35b-a3b-dynamic-strix	3250	decode
70.000	mistral-small-4-119b-ud-q4km	147	decode
70.000	gemma4-26b-a4b-q4km-gemma-bin	2690	decode
70.000	gemma4-e2b-q4km-gemma-bin	5328	decode
72.000	qwen36-27b-dflash-pflash	981	decode
72.000	qwen36-27b-baseline	164	decode
72.000	qwen36-35b-a3b-dynamic-strix	3369	decode
72.000	mistral-small-4-119b-ud-q4km	171	decode
72.000	gemma4-26b-a4b-q4km-gemma-bin	2786	decode
72.000	gemma4-e2b-q4km-gemma-bin	5497	decode
74.000	qwen36-27b-dflash-pflash	1015	decode
74.000	qwen36-27b-baseline	188	decode
74.000	qwen36-35b-a3b-dynamic-strix	3487	decode
74.000	mistral-small-4-119b-ud-q4km	195	decode
74.000	gemma4-26b-a4b-q4km-gemma-bin	2882	decode
74.000	gemma4-e2b-q4km-gemma-bin	5666	decode
76.000	qwen36-27b-dflash-pflash	1049	decode
76.000	qwen36-27b-baseline	212	decode
76.000	qwen36-35b-a3b-dynamic-strix	3606	decode
76.000	mistral-small-4-119b-ud-q4km	219	decode
76.000	gemma4-26b-a4b-q4km-gemma-bin	2978	decode
76.000	gemma4-e2b-q4km-gemma-bin	5835	decode
78.000	qwen36-27b-dflash-pflash	1083	decode
78.000	qwen36-27b-baseline	236	decode
78.000	qwen36-35b-a3b-dynamic-strix	3725	decode
78.000	mistral-small-4-119b-ud-q4km	242	decode
78.000	gemma4-26b-a4b-q4km-gemma-bin	3073	decode
78.000	gemma4-e2b-q4km-gemma-bin	6004	decode
80.000	qwen36-27b-dflash-pflash	1117	decode
80.000	qwen36-27b-baseline	261	decode
80.000	qwen36-35b-a3b-dynamic-strix	3844	decode
80.000	mistral-small-4-119b-ud-q4km	266	decode
80.000	gemma4-26b-a4b-q4km-gemma-bin	3169	decode
80.000	gemma4-e2b-q4km-gemma-bin	6173	decode
82.000	qwen36-27b-dflash-pflash	1151	decode
82.000	qwen36-27b-baseline	285	decode
82.000	qwen36-35b-a3b-dynamic-strix	3963	decode
82.000	mistral-small-4-119b-ud-q4km	290	decode
82.000	gemma4-26b-a4b-q4km-gemma-bin	3265	decode
