ts_iso	epoch	prompt_tokens_total	prompt_seconds_total	tokens_predicted_total	tokens_predicted_seconds_total	requests_processing	requests_deferred
2026-05-12T22:09:10-0400	1778638150	0	0	0	0	0	0
2026-05-12T22:09:12-0400	1778638152	0	0	0	0	0	0
2026-05-12T22:09:14-0400	1778638154	0	0	0	0	0	0
2026-05-12T22:09:16-0400	1778638156	0	0	0	0	0	0
2026-05-12T22:09:18-0400	1778638158	0	0	0	0	0	0
2026-05-12T22:09:20-0400	1778638160	0	0	0	0	0	0
2026-05-12T22:09:22-0400	1778638162	0	0	0	0	1	0
2026-05-12T22:09:25-0400	1778638165	0	0	0	0	1	0
2026-05-12T22:09:32-0400	1778638172	0	0	0	0	1	0
2026-05-12T22:09:39-0400	1778638179	0	0	0	0	1	0
2026-05-12T22:09:45-0400	1778638185	0	0	0	0	1	0
2026-05-12T22:09:52-0400	1778638192	0	0	0	0	1	0
2026-05-12T22:10:00-0400	1778638200	0	0	0	0	1	0
2026-05-12T22:10:07-0400	1778638207	0	0	0	0	1	0
2026-05-12T22:10:15-0400	1778638215	16682	58	0	0	1	0
2026-05-12T22:10:20-0400	1778638220	16682	58	0	0	1	0
2026-05-12T22:10:22-0400	1778638222	16682	58	0	0	1	0
2026-05-12T22:10:24-0400	1778638224	16682	58	0	0	1	0
2026-05-12T22:10:26-0400	1778638226	16682	58	0	0	1	0
2026-05-12T22:10:29-0400	1778638229	16682	58	0	0	1	0
2026-05-12T22:10:31-0400	1778638231	16682	58	0	0	1	0
2026-05-12T22:10:33-0400	1778638233	16682	58	0	0	1	0
2026-05-12T22:10:35-0400	1778638235	16682	58	0	0	1	0
2026-05-12T22:10:37-0400	1778638237	16682	58	0	0	1	0
2026-05-12T22:10:39-0400	1778638239	16682	58	0	0	1	0
2026-05-12T22:10:41-0400	1778638241	16682	58	0	0	1	0
2026-05-12T22:10:43-0400	1778638243	16682	58	0	0	1	0
2026-05-12T22:10:45-0400	1778638245	16682	58	0	0	1	0
2026-05-12T22:10:47-0400	1778638247	16682	58	0	0	1	0
2026-05-12T22:10:49-0400	1778638249	16682	58	0	0	1	0
2026-05-12T22:10:51-0400	1778638251	16682	58	0	0	1	0
2026-05-12T22:10:53-0400	1778638253	16682	58	0	0	1	0
2026-05-12T22:10:55-0400	1778638255	16682	58	0	0	1	0
2026-05-12T22:10:57-0400	1778638257	16682	58	0	0	1	0
2026-05-12T22:10:59-0400	1778638259	16682	58	0	0	1	0
2026-05-12T22:11:01-0400	1778638261	16682	58	0	0	1	0
2026-05-12T22:11:04-0400	1778638264	16682	58	0	0	1	0
2026-05-12T22:11:06-0400	1778638266	16682	58	0	0	1	0
2026-05-12T22:11:08-0400	1778638268	16682	58	0	0	1	0
2026-05-12T22:11:10-0400	1778638270	16682	58	0	0	1	0
2026-05-12T22:11:12-0400	1778638272	16682	58	0	0	1	0
2026-05-12T22:11:14-0400	1778638274	16682	58	0	0	1	0
2026-05-12T22:11:16-0400	1778638276	16682	58	0	0	1	0
2026-05-12T22:11:18-0400	1778638278	16682	58	0	0	1	0
2026-05-12T22:11:20-0400	1778638280	16682	58	0	0	1	0
2026-05-12T22:11:22-0400	1778638282	16682	58	0	0	1	0
2026-05-12T22:11:24-0400	1778638284	16682	58	0	0	1	0
2026-05-12T22:11:26-0400	1778638286	16682	58	0	0	1	0
2026-05-12T22:11:28-0400	1778638288	16682	58	0	0	1	0
2026-05-12T22:11:30-0400	1778638290	16682	58	0	0	1	0
2026-05-12T22:11:32-0400	1778638292	16682	58	0	0	1	0
2026-05-12T22:11:34-0400	1778638294	16682	58	0	0	1	0
2026-05-12T22:11:36-0400	1778638296	16682	58	0	0	1	0
2026-05-12T22:11:39-0400	1778638299	16682	58	0	0	1	0
2026-05-12T22:11:41-0400	1778638301	16682	58	0	0	1	0
2026-05-12T22:11:43-0400	1778638303	16682	58	0	0	1	0
2026-05-12T22:11:45-0400	1778638305	16682	58	0	0	1	0
2026-05-12T22:11:47-0400	1778638307	16682	58	0	0	1	0
2026-05-12T22:11:49-0400	1778638309	16682	58	0	0	1	0
2026-05-12T22:11:51-0400	1778638311	16682	58	0	0	1	0
2026-05-12T22:11:53-0400	1778638313	16682	58	0	0	1	0
2026-05-12T22:11:55-0400	1778638315	16682	58	0	0	1	0
2026-05-12T22:11:57-0400	1778638317	16682	58	0	0	1	0
2026-05-12T22:11:59-0400	1778638319	16682	58	0	0	1	0
2026-05-12T22:12:01-0400	1778638321	16682	58	0	0	1	0
2026-05-12T22:12:03-0400	1778638323	16682	58	0	0	1	0
2026-05-12T22:12:05-0400	1778638325	16682	58	0	0	1	0
2026-05-12T22:12:07-0400	1778638327	16682	58	0	0	1	0
2026-05-12T22:12:09-0400	1778638329	16682	58	0	0	1	0
2026-05-12T22:12:12-0400	1778638332	16682	58	0	0	1	0
2026-05-12T22:12:14-0400	1778638334	16682	58	0	0	1	0
2026-05-12T22:12:16-0400	1778638336	16682	58	0	0	1	0
2026-05-12T22:12:18-0400	1778638338	16682	58	0	0	1	0
2026-05-12T22:12:20-0400	1778638340	16682	58	0	0	1	0
2026-05-12T22:12:22-0400	1778638342	16682	58	0	0	1	0
2026-05-12T22:12:24-0400	1778638344	16682	58	0	0	1	0
2026-05-12T22:12:26-0400	1778638346	16682	58	0	0	1	0
2026-05-12T22:12:28-0400	1778638348	16682	58	0	0	1	0
2026-05-12T22:12:30-0400	1778638350	16682	58	0	0	1	0
2026-05-12T22:12:32-0400	1778638352	16682	58	0	0	1	0
2026-05-12T22:12:34-0400	1778638354	16682	58	0	0	1	0
2026-05-12T22:12:36-0400	1778638356	16682	58	0	0	1	0
2026-05-12T22:12:38-0400	1778638358	16682	58	0	0	1	0
2026-05-12T22:12:40-0400	1778638360	16682	58	0	0	1	0
